10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
0,5.00112,6.97876,7.90945,8.41948,8.73426,8.94629,9.09851,9.21306,9.30241,9.37409,9.4329,9.48203,9.52371,9.55953,9.59064,9.61791,9.64202,9.66348,9.6827,9.69999,9.71564,9.72984,9.74278,9.7546,9.76543,9.77537,9.78451,9.79292,9.80066,9.8078,9.81438,9.82044,9.82602,9.83115,9.83585,9.84015,9.84408,9.84764,9.85085,9.85374,9.8563,9.85856,9.86052,9.86218,9.86356,9.86465,9.86547,9.86601,9.86628,9.86628,9.86601,9.86547,9.86465,9.86356,9.86218,9.86052,9.85856,9.8563,9.85374,9.85085,9.84764,9.84408,9.84015,9.83585,9.83115,9.82602,9.82044,9.81438,9.8078,9.80066,9.79292,9.78451,9.77537,9.76543,9.7546,9.74278,9.72984,9.71564,9.69999,9.6827,9.66348,9.64202,9.61791,9.59064,9.55953,9.52371,9.48203,9.4329,9.37409,9.30241,9.21306,9.09851,8.94629,8.73426,8.41948,7.90945,6.97876,5.00112,0,
0,3.02571,5.00447,6.23954,7.03422,7.57127,7.9524,8.23468,8.45132,8.6225,8.76106,8.87546,8.97151,9.05329,9.12376,9.18511,9.239,9.2867,9.32921,9.36731,9.40164,9.43271,9.46094,9.48667,9.51019,9.53175,9.55154,9.56974,9.58649,9.60193,9.61617,9.62929,9.64137,9.6525,9.66272,9.67211,9.68069,9.68852,9.69562,9.70204,9.7078,9.71292,9.71742,9.72132,9.72464,9.72739,9.72958,9.73121,9.7323,9.73284,9.73284,9.7323,9.73121,9.72958,9.72739,9.72464,9.72132,9.71742,9.71292,9.7078,9.70204,9.69562,9.68852,9.68069,9.67211,9.66272,9.6525,9.64137,9.62929,9.61617,9.60194,9.5865,9.56974,9.55154,9.53175,9.51019,9.48667,9.46094,9.43271,9.40164,9.36731,9.32921,9.2867,9.239,9.18511,9.12376,9.05329,8.97151,8.87546,8.76106,8.6225,8.45132,8.23468,7.9524,7.57127,7.03422,6.23954,5.00447,3.02571,0,
0,2.09725,3.77385,5.01005,5.90658,6.5642,7.05737,7.4365,7.73502,7.97521,8.17217,8.33638,8.47526,8.59417,8.6971,8.78704,8.86627,8.93656,8.99934,9.0557,9.10655,9.15263,9.19454,9.23277,9.26775,9.29983,9.3293,9.35641,9.38139,9.40441,9.42564,9.44522,9.46326,9.47987,9.49514,9.50916,9.52198,9.53367,9.5443,9.55389,9.56249,9.57015,9.57688,9.58272,9.58768,9.59179,9.59506,9.5975,9.59913,9.59994,9.59994,9.59913,9.5975,9.59506,9.59179,9.58768,9.58272,9.57688,9.57015,9.56249,9.55389,9.5443,9.53367,9.52198,9.50916,9.49514,9.47987,9.46326,9.44522,9.42564,9.40441,9.38139,9.35641,9.3293,9.29983,9.26775,9.23277,9.19454,9.15263,9.10655,9.0557,8.99934,8.93657,8.86627,8.78704,8.69711,8.59418,8.47526,8.33638,8.17218,7.97521,7.73502,7.4365,7.05737,6.5642,5.90658,5.01005,3.77385,2.09725,0,
0,1.58945,2.98364,4.12021,5.01786,5.72158,6.27636,6.71893,7.07706,7.37115,7.61605,7.82264,7.99897,8.15105,8.28345,8.39968,8.50246,8.59396,8.67588,8.7496,8.81624,8.87672,8.93181,8.98213,9.02822,9.07052,9.10941,9.14523,9.17824,9.20869,9.23678,9.26269,9.28658,9.30858,9.32882,9.3474,9.3644,9.37991,9.394,9.40672,9.41814,9.4283,9.43723,9.44498,9.45157,9.45703,9.46137,9.46461,9.46677,9.46784,9.46784,9.46677,9.46461,9.46137,9.45703,9.45157,9.44498,9.43723,9.4283,9.41814,9.40672,9.394,9.37991,9.3644,9.3474,9.32882,9.30858,9.28658,9.26269,9.23678,9.20869,9.17824,9.14523,9.10941,9.07052,9.02822,8.98213,8.93181,8.87672,8.81624,8.7496,8.67588,8.59396,8.50246,8.39968,8.28345,8.15105,7.99897,7.82264,7.61605,7.37115,7.07707,6.71893,6.27636,5.72158,5.01786,4.12021,2.98364,1.58945,0,
0,1.2769,2.45106,3.46929,4.32307,5.02791,5.60756,6.0858,6.48315,6.81627,7.09823,7.33916,7.54692,7.7276,7.88597,8.02576,8.14995,8.26093,8.36061,8.45057,8.53208,8.60621,8.67384,8.73572,8.79247,8.84461,8.89261,8.93685,8.97765,9.01532,9.05009,9.08218,9.11178,9.13906,9.16416,9.18721,9.20831,9.22756,9.24506,9.26086,9.27505,9.28767,9.29878,9.30841,9.3166,9.32338,9.32878,9.33281,9.33549,9.33683,9.33683,9.33549,9.33281,9.32878,9.32338,9.3166,9.30841,9.29878,9.28767,9.27505,9.26087,9.24506,9.22756,9.20831,9.18721,9.16416,9.13906,9.11178,9.08218,9.05009,9.01532,8.97765,8.93685,8.89261,8.84461,8.79247,8.73572,8.67384,8.60621,8.53208,8.45057,8.36061,8.26093,8.14995,8.02576,7.88597,7.7276,7.54692,7.33916,7.09823,6.81627,6.48316,6.0858,5.60756,5.02791,4.32307,3.46929,2.45106,1.2769,0,
0,1.0671,2.07439,2.98282,3.77722,4.45942,5.04019,5.53354,5.95348,6.31256,6.62143,6.88885,7.12195,7.32647,7.50706,7.66744,7.81066,7.9392,8.05508,8.15999,8.2553,8.34219,8.42163,8.49444,8.56132,8.62286,8.67957,8.73189,8.78021,8.82484,8.86607,8.90416,8.93931,8.97172,9.00156,9.02896,9.05407,9.07698,9.09781,9.11663,9.13353,9.14856,9.16179,9.17327,9.18303,9.19112,9.19755,9.20236,9.20555,9.20715,9.20715,9.20555,9.20236,9.19755,9.19112,9.18303,9.17327,9.16179,9.14856,9.13353,9.11663,9.09781,9.07698,9.05407,9.02896,9.00156,8.97172,8.93931,8.90416,8.86608,8.82484,8.78021,8.73189,8.67957,8.62286,8.56132,8.49444,8.42163,8.34219,8.2553,8.15999,8.05508,7.9392,7.81066,7.66744,7.50706,7.32648,7.12195,6.88885,6.62143,6.31257,5.95348,5.53354,5.04019,4.45942,3.77722,2.98282,2.07439,1.0671,0,
0,0.91712,1.79658,2.61039,3.34358,3.99234,4.56023,5.0547,5.48467,5.85907,6.18608,6.47287,6.72556,6.94929,7.14834,7.32628,7.48605,7.63012,7.76053,7.87899,7.98695,8.08563,8.17605,8.25909,8.3355,8.40593,8.47092,8.53095,8.58645,8.63776,8.68521,8.72907,8.76958,8.80696,8.84138,8.87302,8.90201,8.92849,8.95256,8.97432,8.99386,9.01125,9.02656,9.03984,9.05114,9.0605,9.06795,9.07352,9.07722,9.07907,9.07907,9.07722,9.07352,9.06795,9.0605,9.05114,9.03984,9.02656,9.01125,8.99386,8.97432,8.95256,8.92849,8.90201,8.87302,8.84138,8.80696,8.76959,8.72907,8.68521,8.63776,8.58645,8.53095,8.47092,8.40593,8.3355,8.25909,8.17605,8.08563,7.98695,7.87899,7.76053,7.63012,7.48605,7.32628,7.14834,6.94929,6.72556,6.47287,6.18608,5.85907,5.48467,5.0547,4.56023,3.99234,3.34358,2.61039,1.79658,0.91712,0,
0,0.804803,1.58441,2.31856,2.99438,3.60615,4.15368,4.64035,5.07144,5.45297,5.79094,6.09098,6.35812,6.59678,6.81075,7.00328,7.17715,7.3347,7.47791,7.6085,7.72789,7.83732,7.93785,8.03037,8.11568,8.19443,8.26722,8.33455,8.39686,8.45455,8.50794,8.55733,8.60299,8.64515,8.684,8.71972,8.75248,8.7824,8.80962,8.83423,8.85634,8.87603,8.89336,8.9084,8.9212,8.9318,8.94024,8.94654,8.95074,8.95283,8.95283,8.95074,8.94654,8.94024,8.9318,8.9212,8.9084,8.89336,8.87603,8.85634,8.83423,8.80962,8.7824,8.75248,8.71972,8.684,8.64515,8.60299,8.55733,8.50794,8.45455,8.39687,8.33455,8.26722,8.19443,8.11568,8.03038,7.93785,7.83732,7.72789,7.6085,7.47792,7.3347,7.17715,7.00329,6.81075,6.59678,6.35812,6.09098,5.79094,5.45297,5.07144,4.64035,4.15368,3.60615,2.99438,2.31856,1.58441,0.804803,0,
0,0.717683,1.41769,2.08507,2.70923,3.28419,3.808,4.28158,4.70777,5.09041,5.43374,5.74199,6.01918,6.26895,6.49459,6.69896,6.88457,7.0536,7.20794,7.3492,7.47879,7.59792,7.70765,7.80888,7.9024,7.9889,8.06898,8.14316,8.21191,8.27563,8.33466,8.38933,8.43991,8.48664,8.52974,8.56939,8.60577,8.63902,8.66928,8.69665,8.72125,8.74316,8.76245,8.7792,8.79345,8.80526,8.81466,8.82168,8.82636,8.82869,8.82869,8.82636,8.82168,8.81466,8.80526,8.79345,8.7792,8.76245,8.74316,8.72125,8.69666,8.66928,8.63902,8.60577,8.56939,8.52974,8.48664,8.43991,8.38933,8.33466,8.27563,8.21191,8.14317,8.06898,7.9889,7.9024,7.80888,7.70765,7.59792,7.47879,7.3492,7.20794,7.0536,6.88457,6.69896,6.49459,6.26896,6.01918,5.74199,5.43374,5.09041,4.70777,4.28158,3.808,3.2842,2.70923,2.08507,1.41769,0.717683,0,
